id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1276178353041682432,1276163948316954627,1593099604000,2020-06-25,12:40:04,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,['blogdojefferson'],[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276178353041682432,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '1138847289978626049', 'username': 'blogdojefferson'}]",,,,
1276175944680648704,1276158706942689287,1593099030000,2020-06-25,12:30:30,Hora Padrão de Buenos Aires,1264562355813470211,semeiaapalavra,fica em paz,,Os diretores da Band deveria ter vergonha na cara aqui e um país livre não e aquele lixo da @EmbaixadaChina #cHINAVIRUS,"['bandtv', 'embaixadachina']",[],[],0,0,0,['#chinavirus'],[],https://twitter.com/semeiaapalavra/status/1276175944680648704,False,,0,,,,,,,"[{'user_id': '1264562355813470211', 'username': 'semeiaapalavra'}, {'user_id': '246471130', 'username': 'BandTV'}, {'user_id': '992063308139319296', 'username': 'EmbaixadaChina'}]",,,,
1276175573249921024,1276158706942689287,1593098941000,2020-06-25,12:29:01,Hora Padrão de Buenos Aires,1264562355813470211,semeiaapalavra,fica em paz,,#bandlixo fechado com a #cHINAVIRUS,['bandtv'],[],[],0,0,2,"['#bandlixo', '#chinavirus']",[],https://twitter.com/semeiaapalavra/status/1276175573249921024,False,,0,,,,,,,"[{'user_id': '1264562355813470211', 'username': 'semeiaapalavra'}, {'user_id': '246471130', 'username': 'BandTV'}]",,,,
1276167176349777923,1276167176349777923,1593096939000,2020-06-25,11:55:39,Hora Padrão de Buenos Aires,97773484,marcasa90,O_Giga,,Legal que depois da pesquisa feita pela própria #bandchina. Os 90% de audiência conservadora não vão mais assistir. Os inventores do #chinavirus são verdadeiros gênios.  https://twitter.com/henriolliveira/status/1276160289730371584 …,[],['https://twitter.com/henriolliveira/status/1276160289730371584'],[],0,1,0,"['#bandchina', '#chinavirus']",[],https://twitter.com/marcasa90/status/1276167176349777923,False,https://twitter.com/henriolliveira/status/1276160289730371584,0,,,,,,,"[{'user_id': '97773484', 'username': 'marcasa90'}]",,,,
1276166869397929988,1276158450469396482,1593096866000,2020-06-25,11:54:26,Hora Padrão de Buenos Aires,37810668,nillmaster,ELISAEL ALVES *SOMOS MILHÕES*3️⃣8️⃣ 🇧🇷🇺🇸,,"#BandLixo, esquerdista vendida, dominada pelo #ChinaVirus PCC.","['aquinaband', 'luislacombereal', 'daltonrangel']",[],[],0,1,1,"['#bandlixo', '#chinavirus']",[],https://twitter.com/NillMaster/status/1276166869397929988,False,,0,,,,,,,"[{'user_id': '37810668', 'username': 'NillMaster'}, {'user_id': '1094396154102628352', 'username': 'aquinaband'}, {'user_id': '1184178787786936320', 'username': 'luislacombereal'}, {'user_id': '197060278', 'username': 'daltonrangel'}]",,,,
1276166446482161676,1276154352722423811,1593096765000,2020-06-25,11:52:45,Hora Padrão de Buenos Aires,37810668,nillmaster,ELISAEL ALVES *SOMOS MILHÕES*3️⃣8️⃣ 🇧🇷🇺🇸,,"É a #ChinaVirus Já  Dominando os meios de Comunicação no Brasil,PCC comprou a Band, para atacar o Governo, não defender.",['brazilfight'],[],[],0,0,0,['#chinavirus'],[],https://twitter.com/NillMaster/status/1276166446482161676,False,,0,,,,,,,"[{'user_id': '37810668', 'username': 'NillMaster'}, {'user_id': '1105126592370618370', 'username': 'BrazilFight'}]",,,,
1276165635781865474,1276151380403785739,1593096572000,2020-06-25,11:49:32,Hora Padrão de Buenos Aires,37810668,nillmaster,ELISAEL ALVES *SOMOS MILHÕES*3️⃣8️⃣ 🇧🇷🇺🇸,,"@jairbolsonaro abre o olho Presidente, não é atoa que o falso do Datena Petralha, fala dos governadores, mas culpa o sr. Pelas mortes por COVID-19, no Brasil. A Band é esquerdista vendida dos #ChinaVirus","['rconstantino', 'jairbolsonaro']",[],[],0,0,2,['#chinavirus'],[],https://twitter.com/NillMaster/status/1276165635781865474,False,,0,,,,,,,"[{'user_id': '37810668', 'username': 'NillMaster'}, {'user_id': '33520195', 'username': 'Rconstantino'}, {'user_id': '128372940', 'username': 'jairbolsonaro'}]",,,,
1276163402579222528,1276163402579222528,1593096039000,2020-06-25,11:40:39,Hora Padrão de Buenos Aires,803516216673497088,sanjaym22502793,Mehta Sanjay Chibber 🇮🇳 #JaiHind,,"Hahahaha...... PLA soldiers...
😅😄😂😃🤣
#VacateAksaiChin
#BoycottChina
#ChinaVirus  https://twitter.com/HuXijin_GT/status/1275779597632565248 … pic.twitter.com/GT7cnyQbZl",[],['https://twitter.com/HuXijin_GT/status/1275779597632565248'],[],0,0,1,"['#vacateaksaichin', '#boycottchina', '#chinavirus']",[],https://twitter.com/SanjayM22502793/status/1276163402579222528,False,,1,,,,,,,"[{'user_id': '803516216673497088', 'username': 'SanjayM22502793'}]",,,,
1276116492073959424,1276116492073959424,1593084855000,2020-06-25,08:34:15,Hora Padrão de Buenos Aires,211991475,eliza_bety7,Bety,,Pra não ir para covas não. Pra não ir pro colo do capeta #chinavirus #pestechinesa #covidchina  https://www.instagram.com/p/CB20dM_F5Z8/?igshid=10x9rmtah2m7m …,[],['https://www.instagram.com/p/CB20dM_F5Z8/?igshid=10x9rmtah2m7m'],[],1,0,0,"['#chinavirus', '#pestechinesa', '#covidchina']",[],https://twitter.com/Eliza_bety7/status/1276116492073959424,False,,0,,,,,,,"[{'user_id': '211991475', 'username': 'Eliza_bety7'}]",,,,
1275977730157395970,1275977730157395970,1593051772000,2020-06-24,23:22:52,Hora Padrão de Buenos Aires,21046784,robersoncassol,Roberson Cassol,,"Qualquer analogia com o Brasil é mera semelhança. Não obstante, mais uma entre as incontáveis vítimas da perseguição política feita pelo PCC (Partido Comunista Chinês), inclusive cientistas que denunciaram o corona ano passado, médicos e muitos outros repórteres. #ChinaVirus  https://twitter.com/EstudosN/status/1275886856949956609 …",[],['https://twitter.com/EstudosN/status/1275886856949956609'],[],0,0,0,['#chinavirus'],[],https://twitter.com/Robersoncassol/status/1275977730157395970,False,https://twitter.com/EstudosN/status/1275886856949956609,0,,,,,,,"[{'user_id': '21046784', 'username': 'Robersoncassol'}]",,,,
